Bank Name,Press Release (PR),Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions)
1st Centennial Bank,PR-7-2009,23-Jan-09,$803.30 ,$676.90 
Bank of Clark County,PR-6-2009,16-Jan-09,$446.50 ,$366.50 
National Bank of Commerce,PR-5-2009,16-Jan-09,$430.90 ,$402.10 
Sanderson State Bank,PR-135-2008,12-Dec-08,$37.00 ,$27.90 
Haven Trust Bank,PR-134-2008,12-Dec-08,$572.00 ,$515.00 
First Georgia Community Bank,PR-132-2008,5-Dec-08,$237.50 ,$197.40 
PFF Bank and Trust,PR-124-2008,21-Nov-08,"$3,700.00 ","$2,400.00 "
Downey Savings and Loan Association,PR-124-2008,21-Nov-08,"$12,800.00 ","$9,700.00 "
Community Bank,PR-123-2008,21-Nov-08,$681.00 ,$611.40 
Security Pacific Bank,PR-114-2008,7-Nov-08,$561.10 ,$450.10 
Franklin Bank,PR-113-2008,7-Nov-08,"$5,100.00 ","$3,700.00 "
Freedom Bank,PR-109-2008,31-Oct-08,$287.00 ,$254.00 
Alpha Bank & Trust,PR-106-2008,24-Oct-08,$354.10 ,$346.20 
Meridian Bank,PR-99-2008,10-Oct-08,$39.20 ,$36.90 
Main Street Bank,PR-98-2008,10-Oct-08,$98.00 ,$86.00 
Washington Mutual Bank,PR-85-2008,25-Sep-08,"$307,000.00 ","$188,000.00 "
Ameribank,PR-82-2008,19-Sep-08,$115.00 ,$102.00 
Silver State Bank,PR-77-2008,5-Sep-08,"$2,000.00 ","$1,700.00 "
Integrity Bank,PR-74-2008,29-Aug-08,"$1,100.00 ",$974.00 
Columbian Bank and Trust,PR-69-2008,22-Aug-08,$752.00 ,$622.00 
First Priority Bank,PR-65-2008,1-Aug-08,$259.00 ,$227.00 
First National Bank of Nevada,PR-63-2008,25-Jul-08,"$3,400.00 ","$3,000.00 "
First Heritage Bank National Association,PR-63-2008,25-Jul-08,$254.00 ,$233.00 
IndyMac Bank,PR-56-2008; PR-42-2009,11-Jul-08,"$32,010.00 ","$19,060.00 "
First Integrity Bank,PR-41-2008,30-May-08,$54.70 ,$50.30 
ANB Financial,PR-33-2008,9-May-08,"$2,100.00 ","$1,800.00 "
Hume Bank,PR-21-2008,7-Mar-08,$18.70 ,$13.60 
Douglass National Bank,PR-7-2008,25-Jan-08,$58.50 ,$53.80 
Miami Valley Bank,PR-83-2007,4-Oct-07,$86.70 ,$76.00 
NetBank,PR-81-2007,28-Sep-07,"$2,500.00 ","$2,300.00 "
Metropolitan Savings,PR-9-2007,2-Feb-07,$15.80 ,$12.00 
Bank of Ephraim,PR-69-2004,25-Jun-04,$46.40 ,$45.20 
Reliance Bank,PR-24-2004,19-Mar-04,$30.30 ,$28.00 
Guaranty National Bank of Tallahassee,PR-23-2004; PR-21-2004,12-Mar-04,$74.10 ,$66.90 
Dollar Savings Bank of Newark,PR-13-2004,14-Feb-04,$12.30 ,$9.80 
Pulaski Savings Bank,PR-107-2003,14-Nov-03,$10.20 ,$9.20 
First National Bank of Blanchardville,PR-48-2003; PR-47-2003,9-May-03,$35.00 ,$29.00 
Southern Pacific Bank,PR-11-2003,7-Feb-03,"$1,000.00 ",$864.70 
Farmers Bank & Trust of Cheneyville,PR-131-2002,17-Dec-02,$37.00 ,$33.10 
Bank of Alamo,PR-120-2002,8-Nov-02,$69.40 ,$55.30 
AmTrade International Bank,PR-100-2002,30-Sep-02,$12.00 ,$10.20 
Universal Federal Savings Bank,PR-81-2002; PR-76-2002,27-Jun-02,$51.60 ,$40.00 
